optimizer,learning_rate,momentum,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
adagrad,0.003916281633525738,0.24300475803522548,65.6941,75.0647,177.4465,17,217.50152587890622,15,0.0717143788933754,0.984375
adam,0.0017060320534381355,0.18107581021351526,65.7,72.515,105.49,10,87.0006103515625,16,0.04836535081267357,0.984375
adamax,0.003332850824821375,0.710236077504583,65.6286,77.8143,76.2752,7,348.00244140625,15,0.10076241940259933,0.96875
ftrl,0.008109605915882554,0.8348311723967706,65.6545,74.8864,122.725,11,304.50213623046875,15,0.0770200863480568,0.9635416865348816
nadam,0.008265524529681349,0.3488962451504116,65.6,73.6056,102.9903,9,348.00244140625,15,0.08259106427431107,0.96875
sgd,0.007535201361208841,0.6006508095699576,65.6,75.8714,70.9613,7,174.001220703125,15,0.08239935338497162,0.96875
rmsprop,0.0021296722023055824,0.21130439342203322,65.625,73.8583,64.4162,6,130.50091552734375,16,0.042681097984313965,0.9947916865348816
adadelta,0.0037333286285647317,0.5908048780091077,65.6932,72.5182,245.1774,22,391.5027465820312,12,0.5205845236778259,0.7604166865348816
adagrad,0.006927866507234055,0.054278853394512216,65.7,75.2875,92.613,8,435.00305175781244,15,0.1456536501646042,0.9375
adam,0.0034025605898638867,0.5129213935087235,65.7,75.9167,131.9343,12,304.50213623046875,16,0.08845627307891846,0.9739583134651184
adamax,0.0006882740501026627,0.8246226348439464,65.64,73.7533,167.4059,15,174.001220703125,16,0.0740741565823555,0.9895833134651184
ftrl,0.0011700656302155357,0.3191253642056755,65.5353,75.2441,174.0388,17,130.50091552734375,16,0.11902441829442978,0.96875
nadam,0.0009998569983605563,0.191927011129993,65.5067,74.52,161.0922,15,217.50152587890622,15,0.05719396471977234,0.9791666865348816
sgd,0.0021583528448562792,0.3492151930004558,65.4192,74.2731,134.3829,13,217.50152587890622,16,0.0843062773346901,0.96875
rmsprop,0.00037612510446703853,0.6751090084028925,65.3825,72.53,241.6217,20,435.00305175781244,16,0.06325451284646988,0.9739583134651184
adadelta,0.00197621660221588,0.5175564643495604,65.4,76.5,87.7867,8,217.50152587890622,9,0.48640692234039307,0.6927083134651184
adagrad,0.003596667705777231,0.1634059553413867,65.3281,74.4563,172.4894,16,435.00305175781244,15,0.11274497956037521,0.96875
adam,0.0024909961488387916,0.43239723893551163,65.2875,72.75,99.715,8,435.00305175781244,16,0.10050260275602341,0.9635416865348816
adamax,0.00772654790807828,0.16990791538434324,65.2357,74.3929,82.083,7,435.00305175781244,16,0.05595007911324501,0.9791666865348816
ftrl,0.0028301772003015307,0.8833520356667577,65.2,73.6143,74.4606,7,130.50091552734375,15,0.08651647716760635,0.9791666865348816
nadam,0.003013307786058003,0.9625812553865043,65.2,75.7438,82.9375,8,87.0006103515625,16,0.06908499449491501,0.9739583134651184
sgd,0.007237493374042297,0.9407587787222378,65.25,74.25,63.0161,6,130.50091552734375,16,0.09666398167610168,0.9791666865348816
rmsprop,0.0030597482250975506,0.2295225581517114,65.1591,73.2864,134.5013,11,304.50213623046875,16,0.1112140491604805,0.9635416865348816
adadelta,0.009258959459679802,0.902528397752319,65.0984,74.8,296.1249,31,43.50030517578125,15,0.16579695045948029,0.9739583134651184
adagrad,0.007767882081742068,0.35778812056947495,65.105,75.07,105.133,10,174.001220703125,16,0.053649336099624634,0.9635416865348816
adam,0.007507342184268832,0.4177422045701702,65.1167,75.1167,69.3792,6,391.5027465820312,16,0.06914439052343369,0.9791666865348816
adamax,0.008612451072658947,0.9312274148454515,65.125,76.925,78.6685,8,43.50030517578125,16,0.03602359816431999,0.9895833134651184
ftrl,0.004922354935324348,0.3783395386286067,65.1154,74.8154,149.7181,13,435.00305175781244,16,0.08176969736814499,0.96875
nadam,0.009760122090275719,0.40557815555441223,65.1857,73.15,76.0688,7,217.50152587890622,16,0.09744306653738022,0.9583333134651184
sgd,0.004943451251798987,0.7772386727098273,65.1133,75.3933,170.5956,15,391.5027465820312,16,0.04343540966510773,0.9895833134651184
rmsprop,0.0019433657214312562,0.6165943783538721,65.1643,78.2214,72.0379,7,87.0006103515625,16,0.07159397751092911,0.9739583134651184
adadelta,0.0020599554061984885,0.34182416592088194,65.1337,73.586,424.3142,43,87.0006103515625,10,0.5260059237480164,0.7447916865348816
adagrad,0.0018938852336804666,0.1458420843013316,65.15,74.5038,144.829,13,304.50213623046875,15,0.08323641866445541,0.9791666865348816
adam,0.008717939781102796,0.7224936570407391,65.1136,72.0545,115.0019,11,217.50152587890622,14,0.15378279983997345,0.9635416865348816
adamax,0.005766446155745617,0.8924885073160276,65.1143,75.3714,82.1592,7,348.00244140625,16,0.06285126507282257,0.9791666865348816
ftrl,0.000988197853832794,0.4802028711853912,65.1094,73.775,151.5812,16,87.0006103515625,16,0.13535164296627045,0.953125
nadam,0.005380690321889313,0.23355316421089412,65.03,73.595,122.936,10,435.00305175781244,16,0.06556101888418198,0.9791666865348816
sgd,0.004743887004338601,0.04265936862317199,64.9538,72.7846,134.9627,13,217.50152587890622,16,0.10447952151298523,0.9635416865348816
rmsprop,0.0037906969737205062,0.6992405041542726,65.0214,74.0357,72.2489,7,43.50030517578125,16,0.2013249397277832,0.96875
adadelta,0.000495923790254932,0.2618070872614896,64.9955,72.8091,126.3731,11,261.0018310546875,13,0.6946185231208801,0.5729166865348816
adagrad,0.006230449658306823,0.3680454874002126,65.0423,72.7385,155.2309,13,391.5027465820312,16,0.11322306841611862,0.953125
adam,0.007231665056915245,0.6881526152601376,64.9833,74.225,68.8208,6,304.50213623046875,16,0.11682745814323425,0.9427083134651184
adamax,0.004563714680583507,0.5577850943708197,65.0214,76.9643,75.3076,7,130.50091552734375,16,0.059907466173172,0.9791666865348816
ftrl,0.0035134191732904088,0.8887985170075963,64.9727,73.2773,122.6251,11,435.00305175781244,15,0.10206890106201172,0.9583333134651184
nadam,0.009480271513246657,0.4574272313508462,65.0,73.3278,91.7742,9,43.50030517578125,15,0.11861303448677063,0.9635416865348816
sgd,0.0038509669942351625,0.004317125203618266,64.9933,73.8233,152.9045,15,87.0006103515625,16,0.09236224740743637,0.96875
rmsprop,0.0041845970562606185,0.22303724970750238,64.6091,74.5682,125.2634,11,304.50213623046875,16,0.041389670222997665,0.9791666865348816
adadelta,0.00122247886305825,0.5799485122805617,64.5318,71.6318,124.1802,11,217.50152587890622,7,0.7255645394325256,0.5625
adagrad,0.0024433115700671537,0.20744379425496007,64.5176,73.5206,199.6391,17,391.5027465820312,16,0.10827649384737015,0.96875
adam,0.006066414767520259,0.24815286902808442,64.52,72.95,117.1251,10,435.00305175781244,15,0.07296989113092422,0.984375
adamax,0.009607828186775027,0.4305116460558336,64.5312,76.6562,81.4067,8,174.001220703125,15,0.04591122642159462,0.984375
ftrl,0.004552620551543767,0.46848691862248293,64.1844,75.85,172.349,16,435.00305175781244,15,0.11605623364448547,0.9635416865348816
nadam,0.0052659973059560475,0.14547835887347804,64.2,76.175,67.2507,6,174.001220703125,16,0.08161379396915436,0.9739583134651184
sgd,0.005129463763429025,0.998293963597496,64.2,77.8083,65.5827,6,217.50152587890622,16,0.2133541703224182,0.984375
rmsprop,0.005681027151696935,0.6976416406959848,64.1917,74.875,65.631,6,174.001220703125,15,0.07502707839012146,0.9739583134651184
adadelta,0.0008562115352637029,0.28997938512041943,64.1406,72.275,170.536,16,304.50213623046875,5,0.7188082337379456,0.578125
adagrad,0.00911294563680291,0.015152256965741517,64.1036,72.5893,136.0113,14,87.0006103515625,15,0.07127679884433746,0.9739583134651184
adam,0.0006429682086916876,0.6356852222247664,64.1444,74.1722,91.0242,9,87.0006103515625,16,0.05733600631356239,0.984375
adamax,0.0005453290132848265,0.11470398537449777,64.1188,76.0812,87.5695,8,391.5027465820312,15,0.12526552379131317,0.96875
ftrl,0.00671370950140443,0.47457999833830533,64.1192,73.3923,139.4363,13,304.50213623046875,16,0.08483531326055527,0.9791666865348816
nadam,0.006627341861303396,0.29297311952097527,64.1045,72.9364,123.0453,11,304.50213623046875,15,0.06788065284490585,0.9791666865348816
sgd,0.008054600355404088,0.07256135934399977,64.1429,74.0286,150.542,14,348.00244140625,16,0.06548605114221573,0.984375
rmsprop,0.001204131703568862,0.5526631966580557,64.1,72.1455,119.2286,11,391.5027465820312,16,0.05401000753045082,0.984375
adadelta,0.002991406085592396,0.32278424964625907,64.1,73.9333,102.2198,9,391.5027465820312,9,0.9314959645271301,0.46875
adagrad,0.007214945888453826,0.6767294270070909,64.1312,71.65,183.4447,16,304.50213623046875,16,0.12198898196220398,0.9479166865348816
adam,0.0013053588241261546,0.904561031489616,64.125,72.2679,157.2157,14,348.00244140625,16,0.026836872100830078,0.9895833134651184
adamax,0.004784899643482923,0.7395237463703228,64.09,73.86,121.65,10,391.5027465820312,16,0.09996777772903442,0.9583333134651184
ftrl,0.004626644276597823,0.8093067814731476,64.1062,74.675,76.4,8,43.50030517578125,15,0.07845212519168854,0.9791666865348816
nadam,0.009279631059748954,0.22589824642216594,64.115,76.99,101.4584,10,174.001220703125,16,0.03863117843866348,0.9895833134651184
sgd,0.005265263959177093,0.17131544148828792,64.1607,74.6964,151.0987,14,348.00244140625,16,0.06606364250183105,0.9791666865348816
rmsprop,0.0018641442177530876,0.06329995959772239,64.0769,73.6423,136.0766,13,304.50213623046875,16,0.05437415465712547,0.9791666865348816
adadelta,0.0038294227239639056,0.9051997460222829,64.0,75.7742,287.9319,31,130.50091552734375,14,0.395843505859375,0.8541666865348816
adagrad,0.007865766906280401,0.6865673400590787,64.12,74.19,114.6994,10,304.50213623046875,15,0.08997363597154617,0.9635416865348816
adam,0.009349545564604189,0.2266582079024141,64.1,73.6688,80.8582,8,130.50091552734375,15,0.14845091104507446,0.9635416865348816
adamax,0.0045229414763928244,0.631535005128858,64.055,75.255,105.4229,10,391.5027465820312,16,0.08955227583646774,0.96875
ftrl,0.004145248298007809,0.10038937099734069,64.0357,76.8643,70.8708,7,87.0006103515625,14,0.09082525968551636,0.96875
nadam,0.003902736711597517,0.5786889955157202,64.0091,73.9091,127.9521,11,435.00305175781244,16,0.05032460764050484,0.984375
sgd,0.009134387763795963,0.3557114339276427,64.05,76.2357,80.816,7,261.0018310546875,16,0.10686605423688889,0.96875
rmsprop,0.007319547919017452,0.4138774719823761,64.0429,74.5571,80.8638,7,391.5027465820312,16,0.09843883663415909,0.9791666865348816
adadelta,0.002832326442549489,0.4434158070729822,64.0433,74.0783,322.6728,30,348.00244140625,11,0.5643779635429382,0.6614583134651184
adagrad,0.006153886846862503,0.510396732311888,64.0462,73.7346,138.7736,13,217.50152587890622,16,0.043651312589645386,0.9895833134651184
adam,0.005124494032073682,0.035957466665339055,64.0,75.77,49.3489,5,43.50030517578125,16,0.06712620705366135,0.984375
adamax,0.004358752680548848,0.8714161493757783,63.89,76.345,94.3618,10,87.0006103515625,14,0.0728084072470665,0.984375
ftrl,0.007676924351664886,0.6666999100977886,63.9118,73.3265,179.2574,17,174.001220703125,16,0.054779231548309326,0.9791666865348816
nadam,0.00989062769864918,0.6531576972817105,63.9286,74.0286,78.7376,7,348.00244140625,16,0.10525217652320862,0.9739583134651184
sgd,0.009462560044904382,0.13064828248526927,63.9682,72.8136,130.637,11,435.00305175781244,16,0.09164679050445557,0.9583333134651184
rmsprop,0.008009760553028886,0.8760585515689958,63.9071,73.8071,67.3003,7,43.50030517578125,15,0.3728017508983612,0.9791666865348816
adadelta,0.006019393050666922,0.1229483435572557,63.937,76.0593,281.9215,27,348.00244140625,13,0.3887527287006378,0.796875
adagrad,0.002042061069090426,0.07757461686642897,63.9375,74.6844,163.9808,16,217.50152587890622,16,0.12646813690662384,0.9583333134651184
adam,0.007797868838462801,0.9528905373424035,63.95,75.2607,154.0306,14,261.0018310546875,15,0.04625675082206726,0.984375
adamax,0.005734653581521529,0.11564135221781768,63.8688,73.4312,82.9062,8,174.001220703125,15,0.06473415344953537,0.984375
ftrl,0.002109424953855052,0.43609563897338377,63.92,72.545,111.2136,10,348.00244140625,16,0.12405475229024887,0.9583333134651184
nadam,0.0003686121789467469,0.9182893164158491,63.9233,76.13,140.4204,15,87.0006103515625,16,0.03146927431225777,0.9947916865348816
sgd,0.002700478911926713,0.8302058448731003,63.875,73.9375,84.8352,8,304.50213623046875,15,0.056991253048181534,0.9947916865348816
rmsprop,0.008000309660240037,0.34229382533338226,63.8083,72.05,68.389,6,435.00305175781244,16,0.07554133236408234,0.984375
adadelta,0.0022342679288217242,0.013906353027030804,63.804,74.556,234.687,25,43.50030517578125,8,0.5773881673812866,0.7239583134651184
adagrad,0.007918462502181133,0.3265114302651617,63.8222,74.8833,98.7666,9,391.5027465820312,16,0.044569745659828186,0.9895833134651184
adam,0.009721712102361163,0.2636983910549192,63.7167,72.275,68.7246,6,348.00244140625,16,0.043479543179273605,0.984375
adamax,0.005377860081578995,0.9447585876500827,63.7059,75.9294,180.0485,17,304.50213623046875,14,0.04152842238545418,0.9947916865348816
ftrl,0.008547238424627616,0.49080452967372357,63.6364,73.6818,121.2809,11,391.5027465820312,16,0.09731128811836243,0.96875
nadam,0.0066678937010716454,0.8535393390895653,63.7045,73.0227,124.5578,11,348.00244140625,16,0.0898127630352974,0.96875
sgd,0.00459900710927023,0.5961609845041758,63.7333,73.375,72.5457,6,348.00244140625,15,0.16901884973049164,0.90625
rmsprop,0.002066326847738626,0.49572772475520777,63.6929,75.7857,67.1326,7,87.0006103515625,15,0.05632193759083748,0.984375
adadelta,0.00907673037284194,0.42081813208006524,63.5739,73.7109,213.677,23,348.00244140625,13,0.35444650053977966,0.828125
adagrad,0.0041594586070437195,0.570626382917391,63.6286,75.3036,138.2482,14,174.001220703125,16,0.0666331797838211,0.9895833134651184
adam,0.0011613871352678202,0.8914581997884237,63.6382,72.6765,181.8438,17,348.00244140625,15,0.09023965150117874,0.9635416865348816
adamax,0.0029425286546961877,0.5226276957018581,63.5875,74.15,85.038,8,174.001220703125,16,0.06320474296808243,0.9895833134651184
ftrl,0.0017810451965034955,0.20544076786750742,63.6038,70.6423,130.442,13,130.50091552734375,15,0.08818108588457108,0.9791666865348816
nadam,0.004196029083736513,0.4279648025343049,63.6182,73.7273,114.922,11,217.50152587890622,15,0.06508345901966095,0.984375
sgd,0.007627072447422739,0.522352763579449,63.6,73.075,66.9812,6,130.50091552734375,15,0.08077497780323029,0.9739583134651184
rmsprop,0.0004987241825249098,0.0527243285842961,63.6125,75.3458,121.8314,12,130.50091552734375,16,0.08420493453741074,0.96875
adadelta,0.005256860189951813,0.4571629755236549,63.6208,73.0292,273.704,24,435.00305175781244,13,0.5783243179321289,0.6145833134651184
adagrad,0.008407765389965198,0.3298486579039215,63.6618,75.1824,184.5667,17,348.00244140625,15,0.10707584023475647,0.953125
adam,0.009146986159355526,0.033593939264868755,63.6,72.55,75.2122,7,174.001220703125,16,0.17715395987033844,0.9427083134651184
adamax,0.004530243981518248,0.19662780838259708,63.6,74.7786,71.1055,7,174.001220703125,15,0.06321047991514206,0.9739583134651184
ftrl,0.0033912675092318666,0.30144525929785093,63.6,75.3313,82.6151,8,348.00244140625,15,0.10547912120819092,0.984375
nadam,0.007062708207777292,0.6420988133294661,63.6333,75.5278,100.0376,9,304.50213623046875,16,0.07144644111394882,0.9791666865348816
sgd,0.009967828514332354,0.6618499544065012,63.5917,74.7667,63.5307,6,130.50091552734375,16,0.05988352373242378,0.9739583134651184
rmsprop,0.0017121017908333445,0.4393857292285098,63.56,74.095,110.8184,10,435.00305175781244,16,0.019036604091525078,1.0
adadelta,0.0024547334114413096,0.5737226004001199,63.4921,74.0645,360.7651,38,174.001220703125,13,0.5953435301780701,0.625
adagrad,0.00986252866195012,0.49210321920200983,63.5333,73.8417,65.9933,6,217.50152587890622,15,0.08469284325838089,0.9895833134651184
adam,0.007412421029679565,0.50710835347717,63.5571,75.1929,72.7332,7,174.001220703125,16,0.09463878720998764,0.9583333134651184
adamax,0.001531535312937116,0.11446200612258994,63.5,73.7105,177.6758,19,43.50030517578125,14,0.04862846061587334,0.9791666865348816
ftrl,0.005862937631421608,0.4822456556536526,63.5,71.7864,104.6486,11,43.50030517578125,16,0.03680184856057167,0.9947916865348816
nadam,0.00742547315776991,0.824617920129381,63.4875,73.8687,88.1347,8,304.50213623046875,16,0.036725010722875595,0.984375
sgd,0.007447981207362868,0.7841517893952158,63.55,71.9688,89.953,8,435.00305175781244,16,0.04201193526387215,0.9791666865348816
rmsprop,0.00712895659094212,0.5793891456325091,63.4538,74.2269,135.05,13,217.50152587890622,16,0.15291433036327362,0.9739583134651184
adadelta,0.002375115781835903,0.4305545951272759,63.4583,73.8417,64.6279,6,348.00244140625,6,0.6883476376533508,0.6197916865348816
adagrad,0.004820146322438144,0.4654750819412159,63.4071,76.4,77.8375,7,391.5027465820312,16,0.13617418706417084,0.9375
adam,0.004182468725535351,0.8972431152989286,63.6167,75.3167,60.8464,6,174.001220703125,15,0.03926461562514305,0.9895833134651184
adamax,0.007373849385250795,0.2987905590163794,63.4214,71.8857,75.0875,7,217.50152587890622,16,0.0497906357049942,0.9895833134651184
ftrl,0.0052953245582171606,0.9752651709422754,63.4273,74.3136,99.94,11,43.50030517578125,15,0.06822199374437332,0.9739583134651184
nadam,0.008772205464264703,0.2901404704440279,63.475,78.2083,58.0447,6,87.0006103515625,16,0.07374069839715958,0.984375
sgd,0.004339873363988057,0.5993225427253873,63.48,74.905,112.0256,10,304.50213623046875,16,0.0807175263762474,0.9739583134651184
rmsprop,0.0034363066920051273,0.81364309088271,63.4286,73.0857,66.1087,7,43.50030517578125,16,0.10529886931180954,0.9895833134651184
adadelta,0.005709770362776329,0.932365437480113,63.3021,74.7292,254.6321,24,261.0018310546875,13,0.4610570967197418,0.7760416865348816
adagrad,0.0019724088927756617,0.7964777355717148,63.3417,75.125,130.4225,12,304.50213623046875,16,0.13244734704494476,0.9479166865348816
adam,0.007358429861651555,0.9980461533485409,63.5,77.3,70.1663,7,174.001220703125,16,0.14533455669879913,0.9583333134651184
adamax,0.009271068943466888,0.17855153495316056,63.3533,73.5733,152.9434,15,261.0018310546875,15,0.10561641305685043,0.953125
ftrl,0.0030721210569251358,0.8931769729874351,63.34,75.7233,132.1278,15,43.50030517578125,16,0.06887612491846085,0.9739583134651184
